en,fr
rss,
out zoom,
in zoom,
square x,
circle x,
down trending,
2 trash,
right toggle,
left toggle,
down thumbs,
2 navigation,
horizontal more,
circle minus,
2 minimize,
circle message,
2 maximize,
2 link,
buoy life,
circle help,
3 edit,
cloud download,
card credit,
circle stop,
forward skip,
back skip,
cart shopping,
2 share,
circle plus,
circle play,
chart pie,
circle pause,
activity,
airplay,
alert circle,
alert octagon,
alert triangle,
anchor,
aperture,
at sign,
award,
2 bar chart,
bar chart,
battery,
bell,
bluetooth,
book,
bookmark,
box,
briefcase,
calendar,
camera,
cast,
check circle,
check square,
check,
navigation,
octagon,
package,
paperclip,
pause,
percent,
phone,
play,
plus square,
plus,
pocket,
printer,
radio,
save,
scissors,
search,
server,
settings,
share,
shield,
sidebar,
slack,
slash,
sliders,
smartphone,
speaker,
square,
star,
sun,
sunrise,
sunset,
tag,
chrome,
clipboard,
ticket,
clock,
cloud drizzle,
cloud lightning,
cloud rain,
cloud snow,
cloud,
codepen,
command,
compass,
copy,
cpu,
crosshair,
delete,
disc,
download,
droplet,
2 edit,
edit,
external link,
eye,
facebook,
fast forward,
feather,
file minus,
file plus,
file text,
file,
film,
filter,
flag,
folder,
github,
gitlab,
globe,
grid,
hash,
headphones,
heart,
home,
image,
inbox,
info,
instagram,
italic,
layers,
layout,
link,
list,
loader,
lock,
log out,
mail,
map pin,
map,
maximize,
menu,
message square,
mic,
minimize,
minus square,
minus,
monitor,
moon,
more vertical,
move,
music,
target,
thermometer,
thumbs up,
trash,
trending up,
triangle,
tv,
twitter,
umbrella,
underline,
unlock,
cloud upload,
upload,
check user,
minus user,
plus user,
user x,
user,
users,
video,
voicemail,
volume x,
volume,
watch,
wifi,
wind,
x,
zap,
communication,
